Key,Description,en,fr
throttleInteractable_859490,VR Interactable,Throttle,Manette des Gaz
autoAdjustJoyInteractable_856740,VR Interactable,Auto Adjust Joystick,Manette de réglage automatique
joyParent_856842,VR Interactable,Joystick,Manette
dButtonBase_857788,VR Interactable,Adjust Left,Ajuster à gauche
dButtonBase (1)_856914,VR Interactable,Adjust Right,Ajuster à droite
dButtonBase (2)_858724,VR Interactable,Adjust Forward,Ajuster vers l'avant
dButtonBase (3)_856684,VR Interactable,Adjust Back,Ajuster en arrière
dButtonBase (4)_860052,VR Interactable,Adjust Up,Ajuster vers le haut
dButtonBase (5)_857762,VR Interactable,Adjust Down,Ajuster vers le bas
ToggleAdjustJoyInteractable_855938,VR Interactable,Toggle Auto Adjust,Basculer le réglage automatique
CockpitLightsInteractable_857330,VR Interactable,Cockpit Lights,Lumières du cockpit
BayLightsInteractable_855990,VR Interactable,Bay Lights,Lumières de la baie
LabelBrightnessKnob_859032,VR Interactable,Instrument Brightness,Luminosité des instruments
LabelGlowPowerInteractable_859822,VR Interactable,Instrument Lights,Lumières des instruments
NavLightSwitchInteractable_857704,VR Interactable,Navigation Lights,Feux de navigation
StrobeSwitchInteractable_857192,VR Interactable,Strobe Lights,Lumières stroboscopiques
LandingLightSwitchInteractable_860068,VR Interactable,Landing Lights,Phare d'atterrissage
ejectInteractable_858246,VR Interactable,Eject,Éjecter
raiseSeatInter_857284,VR Interactable,Raise Seat,Surélever le siège
lowerSeatInter_856168,VR Interactable,Lower Seat,Siège inférieur
"ButtonText_855888,UI Text,""Recenter,,,",,,TEXTE VIDE
"seat"",,,,",,,
ButtonText_855804,UI Text,Restart,
"ButtonText_858140,UI Text,""exit,,,",,,
"mission"",,,,",,,
"ButtonText_859092,UI Text,""Quick,,,",,,
"save"",,,,",,,
ButtonText_857740,UI Text,Load,
ButtonText_856918,UI Text,Save,
helmVisorInteractable_857720,VR Interactable,Visor,
helmNVGInteractable_856016,VR Interactable,NVG,
PendingText_857928,UI Text,in progress...,
CompleteText_856172,UI Text,COMPLETE,
"MissionText_855910,UI Text,""MISSION,,,",,,
