Key,Description,en,fr
DemoText_746066,UI Text,DEMO,DÉMO
SelectPilotButton_745718,VR Interactable,Select Existing Pilot,Sélectionnez un pilote existant
Text_742314,UI Text,Select Pilot,Sélectionnez un pilote
NewPilotButton_745346,VR Interactable,Create New Pilot,Créer un nouveau pilote
Text_742072,UI Text,New Pilot,Nouveau pilote
QuitButton_740624,VR Interactable,Quit Game,Quitter le jeu
Text_742474,UI Text,QUIT,QUITTER
SettingsButton_747456,VR Interactable,Settings,Paramètres
Text_740102,UI Text,"Settings
",Paramètres
CreditsButton_-102322,VR Interactable,Game Credits,Crédits
Text_726044,UI Text,Credits,Crédits
VTOL VR (1)_747232,UI Text,VTEDIT,VTEDIT
EditorButton_743918,VR Interactable,Mission Editor,Éditeur de missions
MapEditorButton_747578,VR Interactable,Map Editor,Éditeur de cartes
VTEDIT (1)_729932,UI Text,VT,VT
VTOL VR_744834,UI Text,VTOL VR,VTOL VR
Text_ACReadyToFly,UI Text,Ready to fly?,Prêt à voler?
Text_AC_SelectVehicle,UI Text,Select Vehicle,Sélectionnez un véhicule
Text_ACNewPilot,UI Text,New Pilot?,Nouveau pilote ?
Tutorials Button_-4966024,VR Interactable,Tutorials,Tutoriels
Text_ACTutorial,UI Text,Tutorial,Tutoriel
Label_514208,UI Text,Pilot Name:,Nom du pilote :
EditNameButton_745868,VR Interactable,Edit Name,Modifier le Nom
Text_743158,UI Text,Edit name,Modifier le nom
BackButton_744184,VR Interactable,Back To Main,Retour à la page principale
Text_742734,UI Text,Back,Retour
StartButton_745400,VR Interactable,Start New Pilot,STNEWPILOT?
Text_744692,UI Text,Start,Demmarer
InvalidName_740436,UI Text,[ Invalid Name ],[ Nom invalide ]
DeleteButton_740016,VR Interactable,Delete Pilot,Supprimer le pilote
PILOTS_745628,UI Text,Pilots,Pilotes
NextPilotButton_747706,VR Interactable,Next Pilot,Pilote Suivant
PrevPilotButton_741810,VR Interactable,Previous Pilot,Pilote Précédent
AreYouSure_743668,UI Text,Are you sure you want to delete?,Etes-vous sûr ?
Text_740860,UI Text,"Yes, Delete","Oui, supprimer"
NoDeleteButton_743870,VR Interactable,Cancel Delete,Annuler la supression
Text_745554,UI Text,"No, keep","Non, garder"
PILOTS_740912,UI Text,NO PILOTS,PAS DE PILOTES
PilotName_742564,UI Text,BDynamics,BDynamics
Pilot name_744616,UI Text,Pilot name,Nom du pilote
EditPilotColorsButton_741944,VR Interactable,Edit Colors,Modifier les couleurs
WorkshopBrowserButton_747088,VR Interactable,Steam Workshop Browser,Navigateur de l'atelier Steam
Text_509830,UI Text,Steam Workshop,Atelier Steam
VEHICLES_747786,UI Text,VEHICLES,VÉHICULES
Text_743784,UI Text,SELECT VEHICLE,SÉLECTIONNER LE VÉHICULE
NextVehButton_747140,VR Interactable,Next Vehicle,Véhicule suivant
PrevVehButton_746350,VR Interactable,Previous Vehicle,Véhicule précédent
NO VEHICLES_740194,UI Text,NO VEHICLES,AUCUN VÉHICULE
Title_731538,UI Text,TUTORIALS,TUTORIELS
NextButton_-4973280,VR Interactable,Next Tutorial,Tutoriel suivant
PrevButton_-4973282,VR Interactable,Previous Tutorial,Tutoriel précédent
SelectButton_-645320,VR Interactable,Select Tutorial,Sélectionnez un tutoriel
Text_-645448,UI Text,Select,Sélectionner
Text_-645234,UI Text,Radar,Radar
Text_-645284,UI Text,F/A-26B,F/A-26B
